"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","dissim","P","C","L","N","A","I","SU","FU","H","M","S","D","remark","Lv"
"98",0.002175,0.004785,1.74174,1.9401,0.67143,6.23,0.598130841,0,0,0,0,0,0,0,0,0,0,0,0,1,"D",1
"99",0.002175,0.0110925,2.313765,1.84614,0.64997,6.75,0.498305085,0,0,0,0,0,0,0,0,0,0,0,0,1,"D",1
"100",NA,NA,1.44246,1.715205,0.69554,5.56,0.653495441,0,0,0,0,0,0,0,0,0,1,0,0,0,"H",1
"101",NA,NA,0.85521,1.59645,0.68275,5.75,0.735973597,0,0,0,1,0,0,0,0,0,0,0,0,0,"L",1
"102",0.0045675,0.00174,0.602475,1.957065,0.65498,6.32,0.523961661,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",0
"103",NA,NA,0.9744,1.438545,0.69335,5.66,0.626198083,0,0,1,0,0,0,0,0,0,0,0,0,0,"C",1
"104",0.0023925,0.001305,1.00659,1.60341,0.62466,5.35,0.572327044,0,0,0,0,0,0,1,0,0,0,0,0,0,"I",1
"105",0.0002175,0.001305,1.003545,1.534245,0.6614,5.88,0.620178042,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",0
"106",0,0.0002175,NA,NA,0.65444,5.59,0.568493151,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"107",NA,0.003915,0,0.008265,0.69494,6.69,0.304985337,0,0,0,0,0,0,0,0,0,0,0,0,1,"D",1
"108",0.0023925,0.001305,0.006525,NA,0.65592,6.05,0.556634304,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",0
"109",NA,NA,0.003045,NA,0.63915,5.49,0.736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"110",0.000435,0.0023925,0.006525,NA,0.6649,5.68,0.586092715,0,0,0,0,0,0,0,0,0,0,0,1,0,"S",1
"111",0.0045675,0.0023925,0.426735,NA,0.61261,5.7,0.810897436,0,0,0,0,0,0,0,0,0,1,0,0,0,"H",1
"112",0.0023925,NA,NA,0.006525,0.68437,5.77,0.50798722,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"113",NA,0.0019575,NA,0.02088,0.63787,5.78,0.752321981,0,0,0,0,1,0,0,0,0,0,0,0,0,"N",1
"114",NA,0.003045,0.00348,0.012615,0.68252,5.82,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,"FU",1
"115",0.0002175,0.0032625,0.006525,0.013485,0.67464,5.65,0.59025788,0,0,0,0,0,1,0,0,0,0,0,0,0,"A",1
